operation_count,data_distribution
11000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '368.93 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
12000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '385.04 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
13000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '387.31 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
14000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '405.11 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
15000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '421.6 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
16000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '423.65 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
17000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '441.08 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
18000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '458.44 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
19000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '485.13 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
20000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '501.37 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
21000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '516.87 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
22000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '520.3 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
23000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '537.35 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
24000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '552.83 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
25000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '555.21 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
26000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '571.94 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
27000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '587.86 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
28000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '590.12 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
29000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '607.79 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
30000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '623.12 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
31000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '626.03 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
32000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '644.56 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
33000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '660.83 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
34000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '664.26 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
