operation_count,data_distribution
4000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '288.14 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
4250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '308.53 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
4500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '319 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
4750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '314.13 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
5000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '297.71 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
5250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '308.3 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
5500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '320.26 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
5750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '341.67 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
6000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '352.58 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
6250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '348.42 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
