operation_count,data_distribution
2750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '182.48 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
3000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '207.23 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
3250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '201.07 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
3500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '224.98 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
3750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '232.23 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
4000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '225.01 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
4250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '200.15 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
4500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '224.97 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
4750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '218.06 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
5000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '241.45 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
5250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '248.78 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
5500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '241.58 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
5750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '216.2 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
6000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '260.33 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
6250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '80.71 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': '18681966-978f-4d09-8cb5-f7c128932b5d', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '253.01 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': 'b07e2ec9-85d0-484e-b201-b9c9bc90ba55', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '134.94 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '1c4557d8-e35b-4b36-ad01-3b34e62b0b46', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '134.89 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '2da49f5b-5819-4c8f-8d50-f05f63e986a5', 'rack': 'rack1'}]"
